
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36015,"Chemung, NY",2,Chain-type quantity indexes for real GDP,88.751,88.944,90.448,93.093,94.874,93.875,96.523,102.116,101.457,105.112,107.628,107.904,108.705,108.684,105.140,102.661,100.000,101.374,101.410,95.500,98.413,98.561
36015,"Chemung, NY",3,Current-dollar GDP (thousands of current dollars),2469505,2513668,2586837,2712919,2845166,2900284,3057188,3292945,3313786,3465237,3595855,3669369,3776304,3851551,3762626,3729752,3691136,3826539,3917758,3784551,4050970,4336930
36017,"Chenango, NY",1,Real GDP (thousands of chained 2017 dollars),1658118,1666334,1718353,1808555,1829391,1950214,1934578,1941085,1991111,1940603,2001659,1971074,2045628,2134380,2219193,2304280,2256103,2272465,2332107,2145803,2122158,2150842
36017,"Chenango, NY",2,Chain-type quantity indexes for real GDP,73.495,73.859,76.165,80.163,81.086,86.442,85.749,86.037,88.254,86.016,88.722,87.366,90.671,94.605,98.364,102.135,100.000,100.725,103.369,95.111,94.063,95.334
36017,"Chenango, NY",3,Current-dollar GDP (thousands of current dollars),1194933,1223014,1286492,1381254,1422539,1552396,1576235,1619295,1710149,1675893,1761139,1782591,1892458,2019340,2155716,2286324,2256103,2306639,2418691,2293997,2331689,2493145
36019,"Clinton, NY",1,Real GDP (thousands of chained 2017 dollars),3505743,3722912,3866216,4125228,4115671,4247386,4216066,4083345,3972476,3961986,3824393,3759448,3809799,3775778,3839374,3808158,3770005,3695035,3688995,3515075,3551838,3651035
36019,"Clinton, NY",2,Chain-type quantity indexes for real GDP,92.990,98.751,102.552,109.422,109.169,112.663,111.832,108.311,105.371,105.092,101.443,99.720,101.056,100.153,101.840,101.012,100.000,98.011,97.851,93.238,94.213,96.844
36019,"Clinton, NY",3,Current-dollar GDP (thousands of current dollars),2484942,2680450,2840566,3097272,3176348,3395488,3464303,3440346,3454864,3476750,3439879,3457953,3584375,3621143,3742315,3737413,3770005,3784572,3866809,3777040,4025064,4495951
36021,"Columbia, NY",1,Real GDP (thousands of chained 2017 dollars),2227129,2129620,2184491,2347425,2261940,2247638,2223514,2262878,2336689,2441806,2446374,2550232,2528554,2628678,2598781,2555718,2471607,2354818,2387520,2359070,2431593,2488410
36021,"Columbia, NY",2,Chain-type quantity indexes for real GDP,90.109,86.163,88.383,94.976,91.517,90.938,89.962,91.555,94.541,98.794,98.979,103.181,102.304,106.355,105.145,103.403,100.000,95.275,96.598,95.447,98.381,100.680
36021,"Columbia, NY",3,Current-dollar GDP (thousands of current dollars),1554131,1518469,1587327,1753567,1735835,1784884,1824496,1892440,1992479,2100297,2138846,2284988,2313845,2455198,2496391,2509703,2471607,2409548,2509144,2554649,2734531,2979647
36023,"Cortland, NY",1,Real GDP (thousands of chained 2017 dollars),1645499,1661448,1680954,1638693,1641021,1621807,1641433,1778818,1742512,1746196,1778015,1820218,1859594,1870376,1912061,1791922,1779443,1803173,1779631,1734855,1756948,1780982
36023,"Cortland, NY",2,Chain-type quantity indexes for real GDP,92.473,93.369,94.465,92.090,92.221,91.141,92.244,99.965,97.925,98.132,99.920,102.291,104.504,105.110,107.453,100.701,100.000,101.334,100.011,97.494,98.736,100.086
36023,"Cortland, NY",3,Current-dollar GDP (thousands of current dollars),1144663,1171252,1218670,1227003,1271191,1302480,1365450,1494670,1466797,1506083,1595747,1683488,1743143,1778954,1860986,1751457,1779443,1856951,1866631,1859481,1990416,2211260
36025,"Delaware, NY",1,Real GDP (thousands of chained 2017 dollars),1532862,1596743,2003856,2232185,2191824,2159589,1929391,1914317,1895310,1951233,1857336,1846611,1880718,1927187,1919040,1912715,1982111,1930101,2102985,1973430,2045734,2079137
36025,"Delaware, NY",2,Chain-type quantity indexes for real GDP,77.335,80.558,101.097,112.617,110.580,108.954,97.340,96.580,95.621,98.442,93.705,93.164,94.885,97.229,96.818,96.499,100.000,97.376,106.098,99.562,103.210,104.895
36025,"Delaware, NY",3,Current-dollar GDP (thousands of current dollars),1177585,1244332,1585201,1794808,1795125,1803361,1632180,1642542,1662245,1715093,1658009,1682723,1742882,1818067,1851114,1877338,1982111,1969604,2183574,2092322,2273918,2463729
36027,"Dutchess, NY",1,Real GDP (thousands of chained 2017 dollars),10278290,10556377,11194181,11658943,11881270,11911807,12400557,13058014,13188723,13673388,13916704,13837712,14000302,13728171,13826947,13771521,14140113,14048737,14476090,13730581,14690159,15155173
