"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",33,1,2004,92.74005822612208020,30368.28024172140412
"USA",33,2,2004,107.5136426350501205,33481.035085264356854
"USA",33,3,2004,1.990644602769097,479.09277890919344
"USA",33,4,2004,65.30546466530388247,24168.061300694382223
"USA",33,5,2004,161.320535260416599659,52615.927207092383912
"USA",33,6,2004,34.989913560251735006,8153.510274363748566
"USA",33,7,2004,149.41725087529296390,43247.444453740393573
"USA",33,8,2004,63.271573601089420946,19749.892123083928927
"USA",33,9,2004,107.09672814311618611,38175.42280530005348
"USA",33,10,2004,867.24031915856771306,229128.171647694147738
"USA",33,11,2004,45.268286396970497436,15379.253781983539076
"USA",33,12,2004,40.471441017936199694,14895.87734468651189
"USA",33,13,2004,105.750346426280333446,35991.824512713126970
"USA",33,14,2004,174.93573224257348336,54257.453716966578546
"USA",33,15,2004,126.29990428760375699,32821.174034050970684
"USA",33,16,2004,336.355315914281877106,104522.764224462013580
"USA",33,17,2004,765.105785396452110615,208107.962646972519719
"USA",33,18,2004,133.413050141532175304,44559.804661114884066
"USA",33,19,2004,6.11278014013237880,1650.467939552274413
"USA",33,20,2004,83.493279321829361015,29882.578447684704676
"USA",33,21,2004,108.208049562326342634,34413.22462787793462
"USA",33,22,2004,178.674505654654666118,53896.948318146187344
"USA",33,23,2004,67.54396315558596831,12930.277390000652753
"USA",33,24,2004,0.5871983131944445,79.298039528398183
"USA",33,25,2004,4.6097853830837662,538.792421535188644
"USA",33,26,2004,228.23610157556368554,66224.720537404948002
"USA",33,27,2004,15.990482504253477076,4321.699237347596844
"USA",33,28,2004,74.21255099311851468,25421.59842454228857
"USA",33,29,2004,59.43507821861326256,16576.67037528021397
"USA",33,30,2004,30.7364704932725782,9873.3797711555621571
"USA",33,31,2004,17.75170689714843899,5298.231230290718610
"USA",33,32,2004,0.05853583851779514,7.647435416527718
"USA",33,33,2004,12.0247735880143261,1996.081534029431954
"USA",33,34,2004,180.00862423005645132,56179.13764738819925
"USA",33,35,2004,88.69886644607634450,24912.643397887398190
"USA",33,36,2004,25.6558280737109345,7368.95026801189096
"USA",33,37,2004,132.83506046981962231,40516.9573607334451005
"USA",33,38,2004,13.64653028937933616,3808.734884518207004
"USA",33,39,2004,107.185878967202660124,25582.406344415489161
"USA",33,40,2004,71.85816924151032432,25124.08269529993399
"USA",33,41,2004,20.89155644000651508,6867.43905890748469
"USA",33,42,2004,1.1725051247960069,313.182731600143648
"USA",33,43,2004,119.95210409961571874,42805.501207383610446
"USA",33,44,2004,5.5220316122526052,1705.9465861376381
"USA",33,45,2004,22.435244803400619455,7094.07386406414782
"USA",33,46,2004,565.99237933198805690,137174.593063303070781
"USA",33,47,2004,620.195617344463052885,214409.893541986592654
"USA",33,48,2004,30.659547811310753836,10608.990571154156100
"USA",33,49,2004,65.98923915938371709,25656.152527138974645
"USA",33,50,2004,42.22770088591581043,12653.97481793478364
"USA",33,51,2004,15.027391145696629016,3925.247897631897852
"USA",33,52,2004,113.004591192395914314,29969.402082392243312
"USA",33,53,2004,256.400080267382237404,79894.277208539668497
"USA",33,54,2004,144.2099605967840383,44790.90989295644033
"USA",33,55,2004,89.371043351167595384,33043.588321412594595
"USA",33,56,2004,68.6260857287954865,24145.5521883116114
"USA",33,57,2004,129.277410867348073989,41768.732081218735200
"USA",33,58,2004,466.81356338881100082,171168.184430015138936
"USA",33,59,2004,104.45941503403216346,37008.49534506940069
"USA",33,60,2004,21.91073494992621436,5068.472042828115590
"USA",33,61,2004,37.915093804665670796,12253.436975655421452
"USA",33,62,2004,32.3199717858854689,9217.841868417061317
"USA",33,63,2004,16.91195010843316128,4797.225555249572683
"USA",33,1,2005,63.05372588981550245,21411.3257375444059866
"USA",33,2,2005,112.341124548105519205,35728.849347431473676
