Nearest_County,Brightness
"Albany County, New York",25912.0
"Allegany County, New York",3087.5
"Bronx County, New York",96046.7
"Broome County, New York",18484.7
"Cattaraugus County, New York",7558.0
"Cayuga County, New York",8532.3
"Chautauqua County, New York",46610.7
"Chemung County, New York",10606.0
"Chenango County, New York",3703.1
"Clinton County, New York",23899.8
"Columbia County, New York",6396.4
"Cortland County, New York",4424.2
"Delaware County, New York",1783.3
"Dutchess County, New York",17895.7
"Erie County, New York",107766.6
"Essex County, New York",4260.2
"Franklin County, New York",7983.5
"Fulton County, New York",5002.7
"Genesee County, New York",12184.5
"Greene County, New York",2655.2
"Hamilton County, New York",375.5
"Herkimer County, New York",387.1
"Jefferson County, New York",15810.2
"Kings County, New York",54224.3
"Lewis County, New York",2454.9
"Livingston County, New York",7354.5
"Madison County, New York",6674.7
"Monroe County, New York",81648.3
"Montgomery County, New York",3997.6
"Nassau County, New York",146728.7
"New York County, New York",246824.3
"Niagara County, New York",67069.5
"Oneida County, New York",30278.8
"Onondaga County, New York",54112.7
"Ontario County, New York",15356.2
"Orange County, New York",39021.7
"Orleans County, New York",4455.7
"Oswego County, New York",11323.9
"Otsego County, New York",5195.2
"Putnam County, New York",18020.5
"Queens County, New York",67178.8
"Rensselaer County, New York",24053.4
"Richmond County, New York",74183.7
"Rockland County, New York",59512.7
"Saratoga County, New York",17049.0
"Schenectady County, New York",26128.9
"Schoharie County, New York",2145.9
"Schuyler County, New York",1300.5
"Seneca County, New York",7634.8
"St. Lawrence County, New York",7567.6
"Steuben County, New York",5920.9
"Suffolk County, New York",44665.7
"Sullivan County, New York",9268.1
"Tioga County, New York",4428.1
"Tompkins County, New York",7308.9
"Ulster County, New York",8354.2
"Warren County, New York",2414.0
"Washington County, New York",9092.4
"Wayne County, New York",8282.0
"Westchester County, New York",24782.2
"Wyoming County, New York",4962.3
"Yates County, New York",1452.7
