Algorithm,Accuracy,F1-Score
Logistic Regression,0.6666666666666666,0.6493506493506493
SVM,0.6111111111111112,0.5418181818181818
Random Forest,0.6111111111111112,0.6099071207430341
KNN,0.5,0.49845201238390086
